feature,driver,spearman_rho,spearman_p,kruskal_h,kruskal_p,mutual_info,composite_score
VMDR_mean__run_pos,VMDR_mean,0.28583097523751466,0.36779381618693385,3.7691176470588275,0.4381531132553549,0.7549422799422804,1.6849783285379085
VSDX_max__anom_abs_sum,VSDX_max,-0.35626265159721265,0.25568178982817485,7.557692307692314,0.10919204930427663,0.0,1.6743342863326085
northward_wind_mean__anom_peak_pos,northward_wind_mean,-0.493009932008264,0.10339939579195204,5.198717948717942,0.2675086952866176,0.10782828282828327,1.6665102436499708
eastward_wind_mean__late_minus_early,eastward_wind_mean,0.45342519294190703,0.1387530762113015,5.641025641025635,0.22760851604841806,0.11410533910533949,1.6637672176875644
VHM0_mean__anom_peak_pos,VHM0_mean,0.3670584895244009,0.24051697237940173,5.36538461538462,0.2518181150727962,0.3093434343434347,1.6423734445957403
northward_wind_max__anom_peak_pos,northward_wind_max,-0.493009932008264,0.10339939579195204,5.198717948717942,0.2675086952866176,0.08131313131313167,1.639995092134819
wind_speed_max__anom_neg_months,wind_speed_max,-0.5910821511877484,0.04296942810167834,4.316542288557222,0.3648582442921024,0.0,1.6200401384099448
wind_speed_mean__anom_neg_months,wind_speed_mean,-0.5910821511877484,0.04296942810167834,4.316542288557222,0.3648582442921024,0.0,1.6200401384099448
VSDY_max__run_neg,VSDY_max,0.5277028901370147,0.077846386852756,3.852981029810304,0.42626818596814564,0.19246031746031766,1.6181831769418464
northward_wind_max__p50,northward_wind_max,-0.3850515527363814,0.21645487821960704,5.910256410256409,0.20595137361440427,0.1611111111111112,1.6174495237068252
uo_mean__late_minus_early,uo_mean,-0.4246362918027384,0.16884337335430183,5.160256410256416,0.2712458716766641,0.2005411255411258,1.6164505721379572
VHM0_max__slope,VHM0_max,0.18352924476220045,0.5680249645833451,8.141025641025635,0.08654672305099693,0.18257575757575828,1.6123836184170848
zos_mean__slope,zos_mean,0.16193756890782393,0.615091187153781,7.961538461538467,0.09299729356991274,0.24195526695526715,1.5973600949731228
VSDY_max__anom_peak_neg,VSDY_max,-0.529983714713515,0.07633523803906869,4.947732626619548,0.2927026217224258,0.0,1.593540817020851
wind_speed_max__p90,wind_speed_max,0.5469891216442053,0.06569660772431905,4.641025641025635,0.3261514008946082,0.0,1.5805589950307757
wind_speed_mean__p90,wind_speed_mean,0.5469891216442053,0.06569660772431905,4.641025641025635,0.3261514008946082,0.0,1.5805589950307757
zos_max__run_neg,zos_max,-0.25664946107277503,0.4206854320184029,5.938942307692314,0.2037547368804346,0.37633477633477685,1.5805259844913535
eastward_wind_max__late_minus_early,eastward_wind_max,0.45342519294190703,0.1387530762113015,5.641025641025635,0.22760851604841806,0.02319624819624866,1.5728581267784738
vo_max__p90,vo_max,0.5469891216442053,0.06569660772431905,4.544871794871803,0.3372599546922859,0.0,1.566013465953931
vo_mean__p90,vo_mean,0.5469891216442053,0.06569660772431905,4.544871794871803,0.3372599546922859,0.0,1.566013465953931
VHM0_max__anom_pos_months,VHM0_max,0.2659343901938344,0.4034657345244873,7.208333333333332,0.12527988357520023,0.11515151515151589,1.5491389544191647
VSDX_max__p10,VSDX_max,0.3658994276616089,0.24211897475265856,6.57266081871346,0.16026935268315162,0.01060606060606073,1.5375544330802342
VSDX_max__anom_peak_neg,VSDX_max,0.493009932008264,0.10339939579195204,5.044871794871803,0.28272428029134555,0.0,1.5346567568210325
eastward_wind_max__p90,eastward_wind_max,0.5038057699354522,0.09492122642425428,4.871794871794869,0.30070688818717634,0.0,1.529468163423688
eastward_wind_mean__p90,eastward_wind_mean,0.5038057699354522,0.09492122642425428,4.871794871794869,0.30070688818717634,0.0,1.529468163423688
VHM0_max__anom_mean,VHM0_max,0.3922487780211736,0.207254686557287,6.192307692307693,0.18523955511772808,0.0,1.5167638267442092
wind_speed_max__run_pos,wind_speed_max,0.5094780674715722,0.09065979527459389,4.125000000000001,0.38935318210435865,0.0780663780663784,1.5066787845612757
VSDX_max__late_minus_early,VSDX_max,0.37785432745158914,0.22589768796347098,5.833333333333329,0.2119455843727183,0.07348484848484893,1.5029691303823691
VHM0_max__late_minus_early,VHM0_max,0.21951537118616132,0.49302372745615963,7.891025641025635,0.09565262344160534,0.02121212121212146,1.4795459777624504
wind_speed_mean__anom_abs_sum,wind_speed_mean,0.37785432745158914,0.22589768796347098,5.121794871794869,0.27502732185042944,0.15317460317460352,1.4695074182842205
wind_speed_max__anom_abs_sum,wind_speed_max,0.37785432745158914,0.22589768796347098,5.121794871794869,0.27502732185042944,0.1440836940836947,1.4604165091933117
wind_speed_mean__run_neg,wind_speed_mean,-0.42163702135578396,0.17219607489127123,3.819444444444443,0.43099249506333526,0.2459956709956712,1.4548000059143122
wind_speed_mean__run_pos,wind_speed_mean,0.5094780674715722,0.09065979527459389,4.125000000000001,0.38935318210435865,0.011904761904761862,1.4405171683996592
zos_mean__run_pos,zos_mean,0.3409152615426852,0.27817582538738933,4.7940613026819925,0.30908809700537165,0.24632034632034672,1.4380685887163578
VSDY_max__iqr,VSDY_max,-0.21125880263350175,0.5098261972798673,4.7172828638497695,0.3175548005288683,0.5017676767676771,1.4224665996064982
uo_max__late_minus_early,uo_max,-0.4246362918027384,0.16884337335430183,5.160256410256416,0.2712458716766641,0.003571428571429003,1.4194808751682602
VHM0_max__p50,VHM0_max,0.41024184123315394,0.18531317495059382,5.0064102564102555,0.28664039503243344,0.0446969696969699,1.4078432584819118
zos_mean__run_neg,zos_mean,-0.25664946107277503,0.4206854320184029,5.938942307692314,0.2037547368804346,0.20176767676767726,1.405958884924254
VTPK_mean__anom_peak_neg,VTPK_mean,0.25910011025251833,0.41610570500180943,4.903846153846153,0.2973065291964839,0.3592352092352096,1.4042309828181816
VTPK_mean__run_neg,VTPK_mean,-0.4733805337993808,0.12007828427379755,4.411924119241202,0.35311911606793395,0.0,1.3988398389098202
zos_mean__anom_mean,zos_mean,0.20512092061657697,0.5224776369876575,6.403846153846153,0.17095057814156364,0.21222943722943755,1.3896007045747831
zos_max__anom_mean,zos_max,0.20512092061657697,0.5224776369876575,6.403846153846153,0.17095057814156364,0.18192640692640705,1.3592976742717524
VMDR_mean__slope,VMDR_mean,0.43183351708753054,0.16096678771170775,4.698717948717942,0.3196303849599091,0.0,1.3590189763190572
uo_max__anom_mean,uo_max,-0.5038057699354522,0.09492122642425428,3.7179487179487154,0.4455207687440388,0.0,1.358743585614448
uo_mean__anom_mean,uo_mean,-0.5038057699354522,0.09492122642425428,3.7179487179487154,0.4455207687440388,0.0,1.358743585614448
zos_mean__anom_pos_months,zos_mean,0.2598244313959805,0.4147568629132664,5.657389937106914,0.22623727010669664,0.1836940836940839,1.3487787947525334
uo_max__run_pos,uo_max,-0.4604593272188023,0.13196932497448519,3.4427884615384627,0.4866306332547434,0.10548340548340573,1.3392026157553385
VSDX_mean__late_minus_early,VSDX_mean,0.3094806872460635,0.3276399437514935,6.083333333333329,0.19301072561025925,0.0,1.3333799310576282
