valid_time,u10,v10,fg10,msl,sst,tp,latitude,longitude
2026-01-08 12:00:00,0.30403137,-7.4428406,11.299014,101066.875,,9.536743e-07,6.5,80.0
2026-01-08 13:00:00,0.24816895,-7.9180756,11.882242,101102.25,,9.536743e-07,6.5,80.0
2026-01-08 14:00:00,-0.07070923,-7.891083,12.175334,101171.56,,0.0,6.5,80.0
2026-01-08 15:00:00,-0.41687012,-8.100647,12.3064995,101222.125,,9.536743e-07,6.5,80.0
2026-01-08 16:00:00,-0.6157532,-8.367004,12.858076,101282.75,,9.536743e-07,6.5,80.0
2026-01-08 17:00:00,-0.6515198,-8.403595,13.29871,101272.75,,0.0,6.5,80.0
2026-01-08 18:00:00,-0.86701965,-8.094788,13.635677,101233.19,,0.0,6.5,80.0
2026-01-08 19:00:00,-0.72039795,-7.847351,12.229828,101216.31,,0.0,6.5,80.0
2026-01-08 20:00:00,-0.46354675,-7.858841,11.917364,101148.375,,7.6293945e-06,6.5,80.0
2026-01-08 21:00:00,-0.26211548,-7.73172,11.775783,101130.69,,8.106232e-06,6.5,80.0
2026-01-08 22:00:00,-0.56092834,-7.535263,11.668444,101072.125,,2.861023e-06,6.5,80.0
2026-01-08 23:00:00,-0.7210388,-7.0139465,11.618745,101048.69,,9.536743e-07,6.5,80.0
2026-01-09 00:00:00,-0.08602905,-7.003647,12.235831,101121.25,,0.0,6.5,80.0
2026-01-09 01:00:00,0.27980042,-7.384445,12.350559,101155.125,,4.7683716e-07,6.5,80.0
2026-01-09 02:00:00,0.24980164,-8.0221405,12.365596,101234.31,,1.9073486e-06,6.5,80.0
2026-01-09 03:00:00,0.13027954,-8.432388,12.232243,101273.69,,4.7683716e-07,6.5,80.0
2026-01-09 04:00:00,-0.059829712,-8.800903,12.337456,101277.625,,4.7683716e-07,6.5,80.0
2026-01-09 05:00:00,-0.15486145,-9.0208435,12.712544,101230.56,,0.0,6.5,80.0
2026-01-09 06:00:00,-0.2957611,-9.106003,12.817339,101149.625,,0.0,6.5,80.0
2026-01-09 07:00:00,-0.37963867,-8.993408,14.121023,101074.31,,0.0,6.5,80.0
2026-01-09 08:00:00,-0.37182617,-8.785309,13.849416,100978.06,,0.0,6.5,80.0
2026-01-09 09:00:00,-0.3397522,-8.509003,13.308768,100912.0,,0.0,6.5,80.0
2026-01-09 10:00:00,0.07072449,-7.5779724,13.016146,100882.56,,0.0,6.5,80.0
2026-01-09 11:00:00,-0.06944275,-7.3703003,12.761885,100870.81,,0.0,6.5,80.0
2026-01-09 12:00:00,-0.03517151,-7.3556213,12.367981,100928.44,,4.7683716e-07,6.5,80.0
2026-01-09 13:00:00,0.05177307,-7.251953,12.331686,101022.19,,1.9073486e-06,6.5,80.0
2026-01-09 14:00:00,-0.14086914,-7.0375366,12.038015,101079.06,,9.536743e-07,6.5,80.0
2026-01-09 15:00:00,-0.6368103,-6.792679,11.386758,101184.375,,0.0,6.5,80.0
2026-01-09 16:00:00,-0.944458,-6.4017487,10.797054,101199.625,,0.0,6.5,80.0
2026-01-09 17:00:00,-0.842926,-6.034256,10.652195,101217.0,,0.0,6.5,80.0
2026-01-09 18:00:00,-0.739151,-5.7942657,10.46948,101200.81,,0.0,6.5,80.0
2026-01-09 19:00:00,-0.6390991,-5.705948,8.693337,101171.69,,2.002716e-05,6.5,80.0
2026-01-09 20:00:00,-0.63694763,-5.7107086,8.75377,101116.625,,7.1525574e-06,6.5,80.0
2026-01-09 21:00:00,-0.7945862,-5.4923706,8.7375,101066.5,,1.4305115e-06,6.5,80.0
2026-01-09 22:00:00,-1.0103912,-6.2123566,8.414786,101074.56,,9.536743e-07,6.5,80.0
2026-01-09 23:00:00,-1.4414673,-5.8040924,8.084664,101056.06,,4.7683716e-07,6.5,80.0
2026-01-10 00:00:00,-1.659256,-5.0182037,7.4623823,101121.56,,4.7683716e-07,6.5,80.0
2026-01-10 01:00:00,-1.5917053,-4.1860046,6.8193398,101150.875,,0.0,6.5,80.0
2026-01-10 02:00:00,-1.5565491,-3.994629,6.8301783,101217.56,,0.0,6.5,80.0
2026-01-10 03:00:00,-1.1282043,-3.7991028,7.0018,101287.31,,4.7683716e-07,6.5,80.0
2026-01-10 04:00:00,-0.50434875,-3.5596924,7.0734787,101301.19,,4.7683716e-07,6.5,80.0
2026-01-10 05:00:00,0.041549683,-3.022644,6.611811,101246.125,,9.536743e-07,6.5,80.0
2026-01-10 06:00:00,0.3990631,-1.9444122,5.5558124,101206.875,,2.0503998e-05,6.5,80.0
2026-01-10 07:00:00,1.5778961,-1.572586,4.5355825,101118.19,,4.7683716e-06,6.5,80.0
2026-01-10 08:00:00,2.4814148,-1.4773865,5.481604,101054.625,,5.722046e-06,6.5,80.0
2026-01-10 09:00:00,2.7014923,-1.4812317,6.322038,100966.125,,6.1035156e-05,6.5,80.0
2026-01-10 10:00:00,2.4243774,-2.7156677,6.5851545,100949.0,,4.2915344e-05,6.5,80.0
2026-01-10 11:00:00,1.9504242,-2.8516846,6.4994354,100956.44,,3.8146973e-05,6.5,80.0
2026-01-10 12:00:00,1.3465424,-3.0240784,5.7673397,101020.19,,4.1484833e-05,6.5,80.0
2026-01-10 13:00:00,0.54104614,-2.9363556,4.8625607,101099.19,,6.198883e-06,6.5,80.0
2026-01-10 14:00:00,-0.004425049,-2.968628,5.243404,101195.94,,3.0517578e-05,6.5,80.0
2026-01-10 15:00:00,-0.3156128,-2.9052887,5.0444536,101292.625,,5.1498413e-05,6.5,80.0
2026-01-10 16:00:00,-0.49197388,-2.944809,5.02267,101339.31,,7.390976e-05,6.5,80.0
2026-01-10 17:00:00,-0.5323181,-2.9150696,5.0106077,101365.56,,6.9618225e-05,6.5,80.0
2026-01-10 18:00:00,-0.4303589,-2.9526672,5.0118694,101338.625,,3.1471252e-05,6.5,80.0
2026-01-10 19:00:00,-0.47712708,-3.0653229,4.6353903,101330.25,,1.9073486e-06,6.5,80.0
2026-01-10 20:00:00,-0.71791077,-2.793396,4.647571,101280.69,,1.9073486e-06,6.5,80.0
2026-01-10 21:00:00,-0.90019226,-2.4638824,4.3830247,101239.875,,9.536743e-07,6.5,80.0
2026-01-10 22:00:00,-1.1224213,-2.0473328,4.1351857,101176.31,,4.7683716e-07,6.5,80.0
2026-01-10 23:00:00,-1.5081787,-0.96681213,3.9503894,101187.875,,0.0,6.5,80.0
2026-01-11 00:00:00,-1.7436218,-0.15386963,3.5829692,101231.75,,0.0,6.5,80.0
2026-01-11 01:00:00,-1.5656891,-0.17120361,3.239688,101322.69,,0.0,6.5,80.0
2026-01-11 02:00:00,-1.1140594,-0.35307312,3.2035387,101400.94,,0.0,6.5,80.0
2026-01-11 03:00:00,-0.62960815,-0.29904175,3.1672895,101439.625,,0.0,6.5,80.0
2026-01-11 04:00:00,-0.3152008,-0.2151947,3.0531797,101488.75,,0.0,6.5,80.0
2026-01-11 05:00:00,-0.186203,-0.018203735,2.8884192,101436.125,,0.0,6.5,80.0
2026-01-11 06:00:00,0.0368042,0.43992615,2.9985425,101374.625,,9.536743e-06,6.5,80.0
2026-01-11 07:00:00,0.41567993,1.0800171,3.7526817,101302.0,,5.722046e-06,6.5,80.0
2026-01-11 08:00:00,0.9462738,1.5067749,4.66645,101206.0,,9.536743e-06,6.5,80.0
2026-01-11 09:00:00,1.5231018,1.6094666,5.13093,101101.875,,5.722046e-06,6.5,80.0
2026-01-11 10:00:00,3.7240753,1.5664978,5.131619,101052.31,,1.335144e-05,6.5,80.0
2026-01-11 11:00:00,1.8451233,-0.14627075,6.028053,101068.31,,5.8174133e-05,6.5,80.0
2026-01-11 12:00:00,1.026947,-1.0668335,5.5757957,101178.56,,0.00014638901,6.5,80.0
2026-01-11 13:00:00,0.80358887,-1.44104,5.582407,101221.44,,0.00018930435,6.5,80.0
2026-01-11 14:00:00,0.9233551,-1.8295898,6.8340287,101318.625,,0.00050640106,6.5,80.0
2026-01-11 15:00:00,0.40426636,-2.1648712,4.8679924,101395.56,,0.00031471252,6.5,80.0
2026-01-11 16:00:00,0.34350586,-2.262558,4.3396072,101446.625,,8.583069e-05,6.5,80.0
2026-01-11 17:00:00,0.36784363,-2.43042,3.486793,101425.44,,1.2397766e-05,6.5,80.0
2026-01-11 18:00:00,0.21411133,-2.5390778,3.5736027,101409.125,,0.0,6.5,80.0
2026-01-11 19:00:00,-0.2854004,-2.583374,3.9043324,101367.94,,3.33786e-06,6.5,80.0
2026-01-11 20:00:00,-0.7854004,-2.4088593,3.7795768,101337.5,,1.4305115e-06,6.5,80.0
2026-01-11 21:00:00,-0.9899292,-2.104782,3.8074837,101287.5,,4.7683716e-07,6.5,80.0
2026-01-11 22:00:00,-1.3981476,-1.1496887,3.808978,101225.44,,0.0,6.5,80.0
2026-01-11 23:00:00,-1.5463257,-0.7014618,3.9076612,101207.69,,0.0,6.5,80.0
2026-01-12 00:00:00,-1.7877502,-0.9717407,3.978852,101277.06,,0.0,6.5,80.0
