Transect,RMSE_deg,MAE_deg,RMSE_m,MAE_m
Transect_64,7.527663673520803e-05,5.676756397432633e-05,8.355706677608092,6.301199601150223
Transect_65,8.457578804998225e-05,6.788607134709283e-05,9.38791247354803,7.535353919527305
Transect_66,7.667038862744854e-05,5.709687673975951e-05,8.510413137646788,6.337753318113306
Transect_67,8.509769688502899e-05,7.121096174335691e-05,9.445844354238218,7.904416753512617
Transect_68,8.349411658452339e-05,7.630048462378708e-05,9.267846940882096,8.469353793240366
Transect_69,8.361201837462982e-05,6.755414143041887e-05,9.28093403958391,7.498509698776495
Transect_70,8.814012377880022e-05,6.898834699495249e-05,9.783553739446825,7.657706516439727
Transect_71,8.712460515972466e-05,7.194973954999495e-05,9.670831172729438,7.986421090049439
Transect_72,7.886118881989965e-05,6.462398089554393e-05,8.75359195900886,7.173261879405376
Transect_73,6.976241091257124e-05,5.23860004109545e-05,7.743627611295407,5.814846045615949
Transect_74,7.644619544328129e-05,6.638936518645953e-05,8.485527694204222,7.369219535697008
Transect_75,5.154018857043232e-05,4.69636664173184e-05,5.720960931317987,5.212966972322342
Transect_76,4.9091348412400433e-05,4.2641411494586954e-05,5.449139673776448,4.733196675899152
Transect_77,5.340934920847719e-05,4.3867380917712187e-05,5.928437762140968,4.869279281866053
Transect_78,6.272778881826343e-05,5.056228117006928e-05,6.962784558827241,5.6124132098776895
Transect_79,6.167875471557559e-05,4.822952726583253e-05,6.84634177342889,5.353477526507411
Transect_80,6.265652961695475e-05,5.028792647649943e-05,6.954874787481977,5.581959838891437
Transect_81,6.901017043501725e-05,5.397829704134537e-05,7.660128918286914,5.991590971589336
Transect_82,6.567479715035459e-05,5.1006249572652664e-05,7.289902483689359,5.661693702564445
Transect_83,7.453014402997949e-05,5.7029154315177247e-05,8.272845987327724,6.330236128984675
Transect_84,6.654172182486872e-05,5.3109713022793426e-05,7.386131122560427,5.89517814553007
Transect_85,6.5998957407774e-05,5.201518582357162e-05,7.325884272262915,5.77368562641645
Transect_86,7.381718596698212e-05,4.9534284610504994e-05,8.193707642335015,5.498305591766054
Transect_87,7.928465910437367e-05,5.2430587545963946e-05,8.800597160585477,5.819795217601998
Transect_88,7.379340355217525e-05,4.7397941483133974e-05,8.191067794291452,5.261171504627871
Transect_89,7.267571833062715e-05,4.0283892610918475e-05,8.067004734699614,4.4715120798119505
Transect_90,8.648104632874615e-05,5.361840329349586e-05,9.599396142490823,5.951642765578041
Transect_91,8.759779153893719e-05,5.564418699092298e-05,9.723354860822027,6.176504755992451
Transect_92,8.980132819048387e-05,6.0256883692936874e-05,9.96794742914371,6.688514089915993
Transect_93,8.426966563797452e-05,5.565809050068283e-05,9.353932885815173,6.178048045575794
Transect_94,8.549801006511515e-05,6.0353862108661474e-05,9.490279117227782,6.699278694061424
Transect_95,8.358010509443429e-05,5.884820021136287e-05,9.277391665482206,6.5321502234612785
Transect_96,7.629731642501605e-05,5.116128992792576e-05,8.469002123176782,5.678903181999759
Transect_97,7.94118256796774e-05,5.733799065140615e-05,8.814712650444191,6.364516962306083
Transect_98,7.208770343103058e-05,5.741156014283855e-05,8.001735080844394,6.372683175855079
Transect_99,6.050032730700832e-05,4.1995084155933206e-05,6.7155363310779235,4.661454341308586
Transect_100,6.670244362135794e-05,5.2966566449489115e-05,7.403971241970731,5.879288875893292
Transect_101,4.8340784986674e-05,3.8230079276894285e-05,5.365827133520813,4.243538799735266
Transect_102,6.091058073195153e-05,4.631436971209642e-05,6.76107446124662,5.140895038042703
Transect_103,6.315230332937755e-05,4.699463739610724e-05,7.009905669560908,5.216404750967904
Transect_104,3.6320215227675794e-05,3.1741387856647834e-05,4.0315438902720135,3.5232940520879095
Transect_105,2.6522665869113314e-05,2.215779710658635e-05,2.944015911471578,2.4595154788310847
